Season,Player,Pos,Age,Tm,G,GS,MP_tot,FG_tot,FGA_tot,FG_perc,3P_tot,3PA_tot,3P_perc,2P_tot,2PA_tot,2P_perc,eFG_perc,FT_tot,FTA_tot,FT_perc,ORB_tot,DRB_tot,TRB_tot,AST_tot,STL_tot,BLK_tot,TOV_tot,PF_tot,PTS_tot,MP_per_G,FG_per_G,FGA_per_G,3P_per_G,3PA_per_G,2P_per_G,2PA_per_G,FT_per_G,FTA_per_G,ORB_per_G,DRB_per_G,TRB_per_G,AST_per_G,STL_per_G,BLK_per_G,TOV_per_G,PF_per_G,PTS_per_G,FG_per_36m,FGA_per_36m,3P_per_36m,3PA_per_36m,2P_per_36m,2PA_per_36m,FT_per_36m,FTA_per_36m,ORB_per_36m,DRB_per_36m,TRB_per_36m,AST_per_36m,STL_per_36m,BLK_per_36m,TOV_per_36m,PF_per_36m,PTS_per_36m,PER,TS_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP
2007-08,LeBron James,SF,23.0,CLE,75.0,74.0,3027.0,794.0,1642.0,0.484,113.0,359.0,0.315,681.0,1283.0,0.531,0.518,549.0,771.0,0.7120000000000001,133.0,459.0,592.0,539.0,138.0,81.0,255.0,165.0,2250.0,40.4,10.6,21.9,1.5,4.8,9.1,17.1,7.3,10.3,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,9.4,19.5,1.3,4.3,8.1,15.3,6.5,9.2,1.6,5.5,7.0,6.4,1.6,1.0,3.0,2.0,26.8,29.1,0.568,0.21899999999999997,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,10.7,4.6,15.2,0.242,9.0,2.3,11.2,10.1
1992-93,Dominique Wilkins*,SF,33.0,ATL,71.0,70.0,2647.0,741.0,1584.0,0.46799999999999997,120.0,316.0,0.38,621.0,1268.0,0.49,0.506,519.0,627.0,0.828,187.0,295.0,482.0,227.0,70.0,27.0,184.0,116.0,2121.0,37.3,10.4,22.3,1.7,4.5,8.7,17.9,7.3,8.8,2.6,4.2,6.8,3.2,1.0,0.4,2.6,1.6,29.9,10.1,21.5,1.6,4.3,8.4,17.2,7.1,8.5,2.5,4.0,6.6,3.1,1.0,0.4,2.5,1.6,28.8,24.3,0.57,0.19899999999999998,0.396,7.6,12.9,10.1,14.9,1.3,0.6,9.0,31.9,9.1,1.4,10.5,0.191,5.9,-2.4,3.6,3.7
1987-88,Larry Bird*,SF,31.0,BOS,76.0,75.0,2965.0,881.0,1672.0,0.527,98.0,237.0,0.414,783.0,1435.0,0.546,0.556,415.0,453.0,0.9159999999999999,108.0,595.0,703.0,467.0,125.0,57.0,213.0,157.0,2275.0,39.0,11.6,22.0,1.3,3.1,10.3,18.9,5.5,6.0,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,10.7,20.3,1.2,2.9,9.5,17.4,5.0,5.5,1.3,7.2,8.5,5.7,1.5,0.7,2.6,1.9,27.6,27.8,0.608,0.142,0.271,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,11.2,3.8,15.0,0.243,7.5,1.3,8.8,8.1
2000-01,Jerry Stackhouse,SG,26.0,DET,80.0,80.0,3215.0,774.0,1927.0,0.402,166.0,473.0,0.35100000000000003,608.0,1454.0,0.418,0.445,666.0,810.0,0.8220000000000001,99.0,216.0,315.0,410.0,97.0,54.0,326.0,160.0,2380.0,40.2,9.7,24.1,2.1,5.9,7.6,18.2,8.3,10.1,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2.0,29.8,8.7,21.6,1.9,5.3,6.8,16.3,7.5,9.1,1.1,2.4,3.5,4.6,1.1,0.6,3.7,1.8,26.7,21.8,0.521,0.245,0.42,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,6.6,2.6,9.2,0.13699999999999998,5.3,-1.6,3.7,4.6
1993-94,David Robinson*,C,28.0,SAS,80.0,80.0,3241.0,840.0,1658.0,0.507,10.0,29.0,0.345,830.0,1629.0,0.51,0.51,693.0,925.0,0.7490000000000001,241.0,614.0,855.0,381.0,139.0,265.0,253.0,228.0,2383.0,40.5,10.5,20.7,0.1,0.4,10.4,20.4,8.7,11.6,3.0,7.7,10.7,4.8,1.7,3.3,3.2,2.9,29.8,9.3,18.4,0.1,0.3,9.2,18.1,7.7,10.3,2.7,6.8,9.5,4.2,1.5,2.9,2.8,2.5,26.5,30.7,0.5770000000000001,0.017,0.5579999999999999,8.8,20.3,14.8,21.6,2.3,5.4,10.9,32.0,13.3,6.7,20.0,0.29600000000000004,6.8,4.2,10.9,10.6
1985-86,Alex English*,SF,32.0,DEN,81.0,81.0,3024.0,951.0,1888.0,0.504,1.0,5.0,0.2,950.0,1883.0,0.505,0.504,511.0,593.0,0.862,192.0,213.0,405.0,320.0,73.0,29.0,249.0,235.0,2414.0,37.3,11.7,23.3,0.0,0.1,11.7,23.2,6.3,7.3,2.4,2.6,5.0,4.0,0.9,0.4,3.1,2.9,29.8,11.3,22.5,0.0,0.1,11.3,22.4,6.1,7.1,2.3,2.5,4.8,3.8,0.9,0.3,3.0,2.8,28.7,21.7,0.562,0.003,0.314,6.3,7.7,7.0,17.0,1.1,0.5,10.4,30.5,7.6,2.3,9.8,0.156,4.1,-2.0,2.1,3.2
1985-86,Adrian Dantley*,SF,29.0,UTA,76.0,75.0,2744.0,818.0,1453.0,0.563,1.0,11.0,0.091,817.0,1442.0,0.5670000000000001,0.563,630.0,796.0,0.7909999999999999,178.0,217.0,395.0,264.0,64.0,4.0,231.0,206.0,2267.0,36.1,10.8,19.1,0.0,0.1,10.8,19.0,8.3,10.5,2.3,2.9,5.2,3.5,0.8,0.1,3.0,2.7,29.8,10.7,19.1,0.0,0.1,10.7,18.9,8.3,10.4,2.3,2.8,5.2,3.5,0.8,0.1,3.0,2.7,29.7,24.6,0.629,0.008,0.5479999999999999,7.2,8.5,7.8,16.7,1.1,0.1,11.4,30.0,10.4,2.3,12.8,0.223,6.7,-1.7,4.9,4.8
1999-00,Shaquille O'Neal*,C,27.0,LAL,79.0,79.0,3163.0,956.0,1665.0,0.574,0.0,1.0,0.0,956.0,1664.0,0.575,0.574,432.0,824.0,0.524,336.0,742.0,1078.0,299.0,36.0,239.0,223.0,255.0,2344.0,40.0,12.1,21.1,0.0,0.0,12.1,21.1,5.5,10.4,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,10.9,19.0,0.0,0.0,10.9,18.9,4.9,9.4,3.8,8.4,12.3,3.4,0.4,2.7,2.5,2.9,26.7,30.6,0.578,0.001,0.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,11.7,7.0,18.6,0.28300000000000003,6.2,3.5,9.7,9.3
2009-10,LeBron James,SF,25.0,CLE,76.0,76.0,2966.0,768.0,1528.0,0.503,129.0,387.0,0.33299999999999996,639.0,1141.0,0.56,0.545,593.0,773.0,0.767,71.0,483.0,554.0,651.0,125.0,77.0,261.0,119.0,2258.0,39.0,10.1,20.1,1.7,5.1,8.4,15.0,7.8,10.2,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,9.3,18.5,1.6,4.7,7.8,13.8,7.2,9.4,0.9,5.9,6.7,7.9,1.5,0.9,3.2,1.4,27.4,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,13.3,5.2,18.5,0.299,9.7,2.8,12.5,10.9
1996-97,Michael Jordan*,SG,33.0,CHI,82.0,82.0,3106.0,920.0,1892.0,0.486,111.0,297.0,0.374,809.0,1595.0,0.507,0.516,480.0,576.0,0.833,113.0,369.0,482.0,352.0,140.0,44.0,166.0,156.0,2431.0,37.9,11.2,23.1,1.4,3.6,9.9,19.5,5.9,7.0,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6,10.7,21.9,1.3,3.4,9.4,18.5,5.6,6.7,1.3,4.3,5.6,4.1,1.6,0.5,1.9,1.8,28.2,27.8,0.5670000000000001,0.157,0.304,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,13.3,5.0,18.3,0.28300000000000003,6.5,0.2,6.7,6.8
